MabaID,Type,Model,SerialNumber,Department,Measurement,ChannelsNumber_current,ChannelsNumber_TO_FILL
21-668,אוגר נתונים,Hydra 2,6603616,אלקטרוניקה,,,
21-702,אוגר נתונים,ADT 286,68502310038,אלקטרוניקה,,,
21-711,אוגר נתונים,Optidew,185409,טמפרטורה ולחות,,,
21-78,אוגר נתונים,DP30-SH-K2,99-0719,טמפרטורה ולחות,,,
31-1,אוגר נתונים,Hydra 2,5944012,אלקטרוניקה,,,
31-31,אוגר נתונים,Hydra 2,7981008,אלקטרוניקה,,,
31-65,אוגר נתונים,Hydra 3,55435033,אלקטרוניקה,,,
31-80,אוגר נתונים,DAQ-9600,GEY140706,אלקטרוניקה,,,
31-81,אוגר נתונים,DAQ-9600,GEY 140708,אלקטרוניקה,,,
31-83,אוגר נתונים,DAQ-9600,GEY 150853,אלקטרוניקה,,,
18-172,אמבט,34401A,U536140116,אלקטרוניקה,,,
18-172,אמבט,34401A,U536140116,אלקטרוניקה,,,
21-12,אמבט,,,טמפרטורה ולחות,,,
21-128,אמבט,,A1B048,טמפרטורה ולחות,,,
21-172,אמבט,,A56521,טמפרטורה ולחות,,,
21-26,אמבט,,475366-A,טמפרטורה ולחות,,,
21-262,אמבט,,A84194,טמפרטורה ולחות,,,
21-263,אמבט,,A84402,טמפרטורה ולחות,,,
21-293,אמבט,,,טמפרטורה ולחות,°C,,
21-321,אמבט,,30400,טמפרטורה ולחות,,,
21-353,אמבט,,30992-1,טמפרטורה ולחות,,,
21-468,אמבט,,351114/1,טמפרטורה ולחות,,,
21-480,אמבט,,1602492,טמפרטורה ולחות,,,
21-481,אמבט,,1602493,טמפרטורה ולחות,,,
21-55,אמבט,,,טמפרטורה ולחות,,,
21-567,אמבט,,B83208,טמפרטורה ולחות,,,
21-710,אמבט,,DYGTLD 111,טמפרטורה ולחות,,,
18-177,רגש,,,טמפרטורה ולחות,°C,60,
18-195,רגש,,,טמפרטורה ולחות,,60,
19-39,רגש,,,טמפרטורה ולחות,,60,
19-40,רגש,,,טמפרטורה ולחות,,60,
21-105,רגש,,PVC הארכה חוט,טמפרטורה ולחות,°C,60,
21-110,רגש,,,טמפרטורה ולחות,°C,60,
21-112,רגש,,,טמפרטורה ולחות,Ω,60,
21-117,רגש,,,טמפרטורה ולחות,Ω,60,
21-131,רגש,,,טמפרטורה ולחות,°C,60,
21-169,רגש,,4903,טמפרטורה ולחות,,60,
21-17,רגש,,,טמפרטורה ולחות,°C,60,
21-186,רגש,,15820,טמפרטורה ולחות,°C,60,
21-199,רגש,,0232,טמפרטורה ולחות,,60,
21-213,רגש,,27860017WS,טמפרטורה ולחות,°C,60,
21-214,רגש,,,טמפרטורה ולחות,°C,60,
21-235,רגש,,261848/2,טמפרטורה ולחות,°C,60,
21-250,רגש,,-/-,טמפרטורה ולחות,Ω,60,
21-284,רגש,,180502K,טמפרטורה ולחות,°C,60,
21-287,רגש,,WX82042,טמפרטורה ולחות,°C,60,
21-290,רגש,,29118-1,טמפרטורה ולחות,°C,60,
21-291,רגש,,29392-1,טמפרטורה ולחות,°C,60,
21-308,רגש,,909H/066,טמפרטורה ולחות,°C,60,
21-325,רגש,,0060577150,טמפרטורה ולחות,,60,
21-326,רגש,,20610969,טמפרטורה ולחות,,60,
21-343,רגש,,909H/098,טמפרטורה ולחות,°C,60,
21-344,רגש,,909H/101,טמפרטורה ולחות,°C,60,
21-347,רגש,,-/-,טמפרטורה ולחות,°C,60,
21-360,רגש,,20383274,טמפרטורה ולחות,,60,
21-362,רגש,,Z523728,טמפרטורה ולחות,°C,60,
21-371,רגש,,61058438,טמפרטורה ולחות,,60,
21-402,רגש,,61175289,טמפרטורה ולחות,,60,
21-403,רגש,,61175284,טמפרטורה ולחות,,60,
21-405,רגש,,60547567,טמפרטורה ולחות,,60,
21-406,רגש,,20610944,טמפרטורה ולחות,,60,
21-416,רגש,,,טמפרטורה ולחות,°C,60,
21-417,רגש,,,טמפרטורה ולחות,°C,60,
21-418,רגש,,,טמפרטורה ולחות,°C,60,
21-420,רגש,,61373244,טמפרטורה ולחות,,60,
21-427,רגש,,61263247,טמפרטורה ולחות,,60,
21-428,רגש,,20611059,טמפרטורה ולחות,,60,
21-432,רגש,,901239,טמפרטורה ולחות,°C,60,
21-436/6,רגש,,,טמפרטורה ולחות,,60,
21-438,רגש,,901239,טמפרטורה ולחות,°C,60,
21-439,רגש,,901239,טמפרטורה ולחות,°C,60,
21-441,רגש,,901239,טמפרטורה ולחות,°C,60,
21-449,רגש,,905313,טמפרטורה ולחות,°C,60,
21-457,רגש,,20038775,טמפרטורה ולחות,,60,
21-476,רגש,,20051167,טמפרטורה ולחות,,60,
21-477,רגש,,,טמפרטורה ולחות,°C,60,
21-478,רגש,,,טמפרטורה ולחות,°C,60,
21-48,רגש,,,טמפרטורה ולחות,°C,60,
21-485,רגש,,20038818,טמפרטורה ולחות,,60,
21-486,רגש,,20611063,טמפרטורה ולחות,,60,
21-488,רגש,,0020610943,טמפרטורה ולחות,,60,
21-500,רגש,,74559,טמפרטורה ולחות,°Ré,60,
21-528/1,רגש,,,טמפרטורה ולחות,,60,
21-528/10,רגש,,,טמפרטורה ולחות,,60,
21-528/2,רגש,,,טמפרטורה ולחות,,60,
21-528/4,רגש,,,טמפרטורה ולחות,,60,
21-528/7,רגש,,,טמפרטורה ולחות,,60,
21-528/9,רגש,,,טמפרטורה ולחות,,60,
21-535,רגש,,,טמפרטורה ולחות,°C,60,
21-536,רגש,,2149967,טמפרטורה ולחות,°C,60,
21-538,רגש,,20149224,טמפרטורה ולחות,,60,
21-539,רגש,,20149116,טמפרטורה ולחות,,60,
21-540,רגש,,20149117,טמפרטורה ולחות,,60,
21-544,רגש,,61630099,טמפרטורה ולחות,,60,
21-545,רגש,,61630105,טמפרטורה ולחות,,60,
21-550/1,רגש,,51688.002,טמפרטורה ולחות,,60,
21-561,רגש,,20176346,טמפרטורה ולחות,,60,
21-562,רגש,,20176348,טמפרטורה ולחות,,60,
21-563,רגש,,20176357,טמפרטורה ולחות,,60,
21-564,רגש,,20176462,טמפרטורה ולחות,,60,
21-565,רגש,,20176463,טמפרטורה ולחות,,60,
21-570,רגש,,61781640,טמפרטורה ולחות,,60,
21-577/1,רגש,,,טמפרטורה ולחות,,60,
21-577/3,רגש,,,טמפרטורה ולחות,,60,
21-577/4,רגש,,,טמפרטורה ולחות,,60,
21-577/5,רגש,,,טמפרטורה ולחות,,60,
21-581,רגש,,61781641,טמפרטורה ולחות,,60,
21-584,רגש,,,טמפרטורה ולחות,°C,60,
21-602,רגש,,Z659024,טמפרטורה ולחות,°C,60,
21-604,רגש,,61875064 20611080,טמפרטורה ולחות,,60,
21-610,רגש,,X170970-2B,טמפרטורה ולחות,°C,60,
21-619,רגש,,5190385,טמפרטורה ולחות,,60,
21-620,רגש,,5190388 20501547,טמפרטורה ולחות,,60,
21-628,רגש,,X170970-4D,טמפרטורה ולחות,°C,60,
21-629,רגש,,W179903-1,טמפרטורה ולחות,°C,60,
21-632,רגש,,976144,טמפרטורה ולחות,°C,60,
21-633,רגש,,Z558566,טמפרטורה ולחות,°C,60,
21-654/2,רגש,,,טמפרטורה ולחות,,60,
21-66,רגש,,VX-PC-CLAS,טמפרטורה ולחות,°C,60,
21-673,רגש,,320985,טמפרטורה ולחות,°C,60,
21-674,רגש,,LOT Z155463,טמפרטורה ולחות,°C,60,
21-675,רגש,,KAI 1123,טמפרטורה ולחות,°C,60,
21-678,רגש,,,טמפרטורה ולחות,°C,60,
21-679,רגש,,,טמפרטורה ולחות,°C,60,
21-68,רגש,,,טמפרטורה ולחות,°C,60,
21-680,רגש,,,טמפרטורה ולחות,°C,60,
21-681,רגש,,,טמפרטורה ולחות,°C,60,
21-682,רגש,,,טמפרטורה ולחות,°C,60,
21-683,רגש,,,טמפרטורה ולחות,°C,60,
21-684,רגש,,,טמפרטורה ולחות,°C,60,
21-688,רגש,,,טמפרטורה ולחות,°C,60,
21-691,רגש,,,טמפרטורה ולחות,,60,
21-695,רגש,,,טמפרטורה ולחות,,60,
21-696,רגש,,,טמפרטורה ולחות,,60,
21-697,רגש,,,טמפרטורה ולחות,°C,60,
21-698,רגש,,,טמפרטורה ולחות,°C,60,
21-699,רגש,,,טמפרטורה ולחות,,60,
21-700,רגש,,,טמפרטורה ולחות,,60,
21-708,רגש,,,טמפרטורה ולחות,°C,60,
21-709,רגש,,,טמפרטורה ולחות,°C,60,
21-712/1,רגש,,,טמפרטורה ולחות,,60,
21-712/2,רגש,,,טמפרטורה ולחות,,60,
21-712/3,רגש,,,טמפרטורה ולחות,,60,
21-712/4,רגש,,,טמפרטורה ולחות,,60,
21-712/5,רגש,,,טמפרטורה ולחות,,60,
21-713,רגש,,,טמפרטורה ולחות,°C,60,
21-99,רגש,,0018,טמפרטורה ולחות,°C,60,
31-18,רגש,,20631636,טמפרטורה ולחות,,60,
31-22,רגש,,0020664679,טמפרטורה ולחות,,60,
31-23,רגש,,0020475797,טמפרטורה ולחות,,60,
31-26,רגש,,19002-14,טמפרטורה ולחות,°C,60,
31-27,רגש,,X206251-1,טמפרטורה ולחות,°C,60,
31-3,רגש,,20611062,טמפרטורה ולחות,,60,
31-32,רגש,,,טמפרטורה ולחות,°C,60,
31-33,רגש,,QW01512,טמפרטורה ולחות,°C,60,
31-34,רגש,,QW41312,טמפרטורה ולחות,°C,60,
31-35,רגש,,Z396561,טמפרטורה ולחות,°C,60,
31-36,רגש,,26500-43,טמפרטורה ולחות,°C,60,
31-37,רגש,,QW41111,טמפרטורה ולחות,°C,60,
31-38,רגש,,,טמפרטורה ולחות,°C,60,
31-39,רגש,,,טמפרטורה ולחות,°C,60,
31-4,רגש,,20611086,טמפרטורה ולחות,,60,
31-40,רגש,,14094-263,טמפרטורה ולחות,°C,60,
31-41,רגש,,14094-262,טמפרטורה ולחות,°C,60,
31-42,רגש,,X210116-3,טמפרטורה ולחות,°C,60,
31-46,רגש,,15014-223,טמפרטורה ולחות,°C,60,
31-47,רגש,,,טמפרטורה ולחות,°C,60,
31-5,רגש,,20611084,טמפרטורה ולחות,,60,
31-6,רגש,,20610949,טמפרטורה ולחות,,60,
31-63,רגש,,,טמפרטורה ולחות,°C,60,
31-64,רגש,,11146X,טמפרטורה ולחות,°C,60,
31-67,רגש,,20664678,טמפרטורה ולחות,,60,
31-68,רגש,,20664680,טמפרטורה ולחות,,60,
31-69,רגש,,20664681,טמפרטורה ולחות,,60,
31-7,רגש,,72177647,טמפרטורה ולחות,,60,
31-70,רגש,,5250021 24108874,טמפרטורה ולחות,,60,
31-71,רגש,,5250022 24108991,טמפרטורה ולחות,,60,
31-79,רגש,,12169X,טמפרטורה ולחות,°C,60,
31-8,רגש,,61613137,טמפרטורה ולחות,,60,
